isbn	author
1558607587	Harmon, Paul
1558608303	Friedlein, Ashley
155558280X	Guruge, Anura
0750674741	Firestone,Joseph
1555582907	Erbschloe, Michael
1555582648	Winston, Alan
155558263X	Jeffrey Peel
1555582567	Charles Breakfield Roxanne Burkey
0080439977	Edelstein
012449983X	Lientz, Bennet P.
1555582516	Redman, Thomas C.
0124499686	Lientz,Bennet
0124499775	Lientz,Bennet
0124499805	Lientz, Bennet P.
0750697016	Savage, Charles M.
0750698004	P K MCBRIDE
1558608729	Hoos, Holger
1558609326	Brachman
1558608567	Ghallab
1558608907	Dechter, Rina
1558607609	Watson
1558607978	Gary B. Fogel
1558607838	Fogel, David B.
1558606734	Bentley, Peter J.; Corne, David W.
155860734X	Worth Martin, William Spears, Worthy N. Martin, FOGA
1558605959	James Kennedy, Russell C. Eberhart
1558606378	Jacob, Christian
1558604677	Nilsson, Nils J.
155860510X	Banzhaf, Wolfgang
1558604626	Watson, Ian
1558607358	Agarwal, Anant/ Lang, Jeffrey
0123694590	Wolf, Wayne
1558609105	Jim Smith, Ravi Nair
0120884763	Franklin, Mark A.
1558606041	Patterson, David A.; Hennessy, John L.
1558608745	Sloss, Andrew; Wright, Chris; Symes, Dominic
0122007514	William James Dally, Brian Patrick Towles
0121981576	Mark A. Franklin
1558609334	Foster, Ian
1558607986	Ercegovac, Milos D.; Lang, Tomas
1558608710	Dongarra, Jack; Fox, Geoffrey; Gropp, William; Foster, Ian; White, Andy; Kennedy, Ken; Torczon, Linda
1558608753	Crowley, Patrick
1558608524	Duato, Jose
1558605967	Hennessey, John; Patterson, David A.
0124343708	Parag K. Lala
155860636X	Harris, David
1558605398	Mark D. Hill
1558605576	Ivan Edward Sutherland, Robert F. Sproull, David Harris
1558603433	Culler, David E.; Gupta, Anoop; Singh, Jaswinder Pal
0123229804	Handy, Jim
1558602976	Farquhar, Erin
0121028208	John Black
1558601368	Przybylski, Steven A.
0123694736	David Gelphman, Bunny Laden
0125852630	Reinhard, Erik
0120884828	David Gould
0120887932	Wilkins, Mark R.
1558606599	Tom McReynolds, David Blythe
1558608613	Reinhard Klette, Azriel Rosenfeld
1558608532	Fosner, Ron
1558608354	Gould, David A.D.
1558607927	Charles Poynton
1558608486	Ebert, David S.
1558605940	Philip Schneider
1558603530	Sherman,William
1558608389	Luebke, David P.
1558603549	Ron Goldman
1558608605	Blinn, Jim
1558607870	Strothotte, Thomas; Schlechtweg, Stefan
1558604464	Warren, Joe
1558607374	Gerald Farin
1558605797	Parent, Rick
0122937856	Goulekas,Karen
1558606696	Rogers, David F.
1558606181	Anthony A. Apodaca, Larry Gritz
0121339602	Brinkman, Ron
1558604553	Blinn, Jim
1558603751	Stollnitz, Eric J.; Derose, Tony D.; Salesin, David H.
1558603875	Blinn
1558604006	Bartels, Richard H.
1558602763	Glassner, Andrew S.
1558601066	Badler, Norman I.
0122861604	Andrew S. Glassner
0124477518	Li, Qing
0120884224	Adrian Farrel, Igor Bryskin
0123694043	Sotomayor,Borja
0123116333	Harrington, Jan L.
1558608346	Hofmann, Markus; Beaumont, Leland R.; Beaumont Lee; Beaumont, Leland
0120884771	George Varghese
012715051X	Jean-Philippe Vasseur, Mario Pickavet, Piet Demeester
1558609148	Feng Zhao, Leonidas Guibas
0125571895	Michal Pi&oacute;ro, Deepankar Medhi
0124287514	Kumar, Anurag; Janjunath, D.; Kuri, Joy
155860913X	Farrel, Adrian
1558608109	Loshin, Peter
1558608281	Walter Ciciora, James Farmer, David Large, Michael Adams
1558609342	C Bala Kumar
1558608591	Strassner, John
0120421712	Aboelela, Emad
155860832X	Peterson, Larry L.; Davie, Bruce S.
1558608877	McCabe, James D.
155860751X	Nadeau, Thomas D.
155860782X	Loshin,Peter
155860779X	Monique Morrow, Kateel Vijayananda
1558606556	Rajiv Ramaswami, Kumar Sivarajan
1558605460	Black, Sharon K.
1558606084	Wang, Zheng
1558606459	Ralph Wittmann, Martina Zitterbart
1558605746	Walrand, Jean; Varaiya, Pravin; Varaiya, P. P.
1558605371	David G. Messerschmitt
1558605711	Bernhard Neumair, Heinz-Gerd Hegering, Sebastian Abeck
1558605754	Fowler
1558604588	Robert Cahn
0123704529	Hornick, Mark F.
0123735777	Refaat, Mamdouh
0123735963	Celko, Joe
0123694469	Samet, Hanan
0123695120	Joe Celko
0120887983	Hay, David C.
1558607110	Melton, Jim; Buxton, Stephen
1558609016	Han
0126853525	Toby J. Teorey, Sam Lightstone, Tom Nadeau
0120887991	Guting, Ralf Hartmut
0122205316	Michael J. Donahoo, Gregory D. Speegle
0123693799	Celko, Joe
0120884070	Ian H. Witten, Eibe Frank
0120887975	Joe Celko
0121942759	Earl Cox
0126445516	Graeme Simsion, Graham Witt
0120455994	Aiken, Peter
1558609202	Celko, Joe
1558609296	Schiller
1558609180	Chisholm, Malcolm
1558609075	Bean, James
155860653X	Pyle, Dorian
1558609008	James McGovern, Sameer Tyagi, Michael Stevens, Sunil Mathew
1558608761	Harrington, Jan L.
1558608923	Bean, James
1558608435	Ceri
1558607544	Chakrabarti, Soumen
1558606777	Jim Melton
1558607536	Shasha, Dennis; Bonnet, Philippe
1558608206	Harrington, Jan L.
1558606890	Usama Fayyad, Georges Grinstein
1558605088	Vossen, Gottfried
1558605886	Philippe Rigaux, Michel O. Scholl, Agnes Voisard
1558604561	Melton, Jim; Simon, Alan R.
1558606726	Halpin, Terry
1558606424	Klaus R. Dittrich
1558606971	Chisholm, Malcolm
155860684X	Westerman,Paul
1558604383	O'Neil, Patrick; O'Neil, Elizabeth
1558606475	Catell, Rick (Author) Cattell, R. G. G. (Author) Cattell, R. G. (Editor)
155860622X	Abiteboul, Serge
1558604324	Celko, Joe
1558605290	Pyle, Dorian
1558605150	Robert J. Muller
155860216X	Ahmed Elmagarmid
1558604820	Chamberlin, Don
1558604340	Yu, Clement
1558604537	Celko, Joe
1558604154	Philip A. Bernstein, Eric Newcomer
1558603484	Nancy A. Lynch
1558603042	Jennifer Widom
1558602712	Johann Freytag
1558602453	Jim Melton, Alan R. Simon
1558601902	Gray, Jim
1558601694	Bancilhon, Francois
1558602143	Elmagarmid, Ahmed K. (ed.)
0125662513	John Pruitt, Tamara Adlin
0120958112	Mayhew,Deborah J
0120884364	Stone, Debbie
1558609350	Courage, Catherine
0123540518	Holtzblatt, Karen
1558607528	Susan Fowler
1558609369	Ling,Rich
1558608192	Ware, Colin
1558608311	Mirel, Barbara
1558608087	John M. Carroll
1558609156	Benjamin B. Bederson, Ben Shneiderman
1558608702	Snyder, Carolyn
1558606432	Fogg
1558608214	Nielsen, Jakob
1558606580	Brinck, Tom
1558607129	Rosson, Mary Beth
1558606882	Henry Lieberman
1558605975	Allison Druin, James Hendler
1558605827	Johnson, Jeff
1558606009	Bergman, Eric
1558605614	Deborah J. Mayhew
1558605339	Stuart K. Card, Jock D. Mackinlay, Ben Shneiderman
155860569X	Spool, Jared M.; Scanlon, Tara; Schroeder, Will; Snyder, Carolyn; DeAngelo, Terri
1558604189	Dan R. Olsen
1558604448	Mark Maybury, Wolfgang Wahlster
1558604111	Hugh Beyer
0125184085	Nielsen, Jakob
0125184069	Nielsen, Jakob
0123706092	Ian H. Witten, Marco Gori, Teresa Numerico
1558609245	Michael Lesk
155860829X	Zoe Lacroix
1558607900	Witten,Ian
1558607145	Ingemar Cox; Matthew Miller; Jeffrey Bloom; Mathew Miller
1558606513	Jeffay, Kevin
1558606246	Alberto del Bimbo
1558605703	Ian Witten
1555583008	Bijaoui, Pierre
1555583288	Haletky, Edward
0750661313	Grimer, Tony
1555583202	Kavanagh, Paul
1555582435	Baldwin, Lawrence
1555582737	Gancarz, Mike
1555582761	Joseph McMullen, Richard Holstein, Philip E. Bourne
1555582990	Lissoir,Alain
1555582818	Miller, David Donald
1555582672	John Robert Wisniewski
1555582664	Lissoir, Alain
1555582850	Stanley, Nigel
1555582591	Fafrak
1555581595	Goldenberg, Ruth E.
1555582745	Moore
1555582796	Duffy, Michael D.
1555582532	Gary Mauler
1555582559	Matthew Cheek
012251341X	Jesse Feiler
0750673540	Craig Peacock
1555582400	Micky Balladelli, Jan De Clercq
1555582273	Steven Hancock
1558604960	John R. Levine
1555581994	Cheek, Matthew
1555581552	Richard Holstein
1555582036	Patrick Holmay
1555582028	Alpha Architecture Committee
1555581579	David Donald Miller
1555581269	Sethi, Joginder
1555581234	Mike Gancarz
0750679999	Pearson, Robert
0750679298	Kovacich, Gerald L. Jones, Andy
155558344X	Xypro Technology Corp
1555583393	PhD, CISM, John Rittinghouse; PhD, CISM, CISSP, James F. Ransome
0750678038	Carl Roper
0124730515	Clement,John G.
1555583385	PhD, CISM, John Rittinghouse, PhD, CISM, CISSP, James F. Ransome
0750677465	Chandra, Praphul
1555583342	Ben-Natan, Ron
0750677953	Jones, Andy
1555582974	Vacca
1555583326	Ransome
0121631052	Monique Ferraro, Eoghan Casey
0750678488	Michael Erbschloe
0121631044	Casey, Eoghan
1555582834	Jan De Clercq
0127427511	Weiss, Jason
1555583172	Rittinghouse, John
1555583121	Michael Erbschloe
1555583148	Xypro Technology Corp
1555582982	Ellis, Juanita
0750676132	Mena, Jesus
0121604527	Charles Carrington, Timothy Speed, Juanita Ellis, Steffano Korper
0750673273	Daniel Jennings, Joseph Boyce
1558607692	Wayner, Peter
1878707965	Stefanek, George L.
0121631036	Eoghan Casey
0126565619	Speed, Tim; Ellis, Juanita; Korper, Steffano
0750649445	Hutchinson, William
0122374711	Ellis, Juanita/ Speed, Tim
0750672579	Boni, William C.
0750670290	Boni, William C.
0750699388	Shaw, Paul
0750696001	Carroll, John M.
0750696915	James L. Schaub &amp; Toni Ames
0123735858	Weilkiens, Tim Oestereich, Bernd
0123725011	Utting, Mark Legeard, Bruno
0120121689	Zelkowitz, Marvin
0122290631	Eberly, David H.
0120121670	Zelkowitz, Marvin
0120121662	Marvin Zelkowitz
0120885603	Pei Zheng, Lionel Ni
0750664711	Williams, Rob
1558606483	Puder
0750665076	Tom Gilb
0120121654	Marvin Zelkowitz
0750660759	Zhu, Hong
0120121646	Marvin Zelkowitz
0120121638	Marvin Zelkowitz
1558607013	Dominus, Mark Jason
1558608176	Peter Braun, Wilhelm R. Rossak
0750661232	Britton, Carol
1555583180	Hagino,Jun-ichiro
1558606874	Zullighoven
012012162X	Marvin Zelkowitz
0120121611	DESCHAMPS A
1555583156	Reid, Fiach
0750660988	Barclay
155558313X	Rittinghouse
0750656832	By (author) Pooley, Rob By (author) Wilcox, Pauline
1555583075	Metzger, Robert Charles
1558608362	Brunner, Robert
075065855X	Attenborough, Mary
012012159X	Zelkowitz, Marvin
0120121581	DESBILLONS
0120121573	Marvin Zelkowitz
1558608028	Flynt, Clif
1558607552	Wieringa
1558608621	Sue Spielman
0120121565	Zelkowitz, Marvin
1558606394	Demeyer, Serge
1558607455	Daum, Berthold; Merten, Udo
0750674032	Schmitt, Ron
1555582494	Norman Lawrence
1558608265	Michael J. Donahoo, Kenneth L. Calvert, S. Donahoo
1558606858	Kenneth L. Calvert, Michael J. Donahoo
1558607366	Speegle, Gregory
0120121557	Marvin Zelkowitz
0120121549	Zelkowitz, Marvin (ed.)
075067329X	Brown, Marty
044450673X	Jenssen, C. B.
0750672811	Helge Granberg, Norm Dye
1558606793	Besset, Didier H.
1558607234	L?szl? B?sz?rm?nyi
1558605932	Eberly, David H.
0444505563	A. T. Nakagawa (editor); T. Tamai (editor); Kokichi Futatsugi (editor)
0127347607	Dongming Wang Xiao-Shan Gao
0120121522	Zelkowitz, Marvin
0125250959	Katsunari Okamoto
0120121514	DELVOLVE
0120121506	DEL SOTTO
0123264286	Harrington, Jan L.
0127887741	Peter Wayner
0120121484	Marvin Zelkowitz
1555582184	Etzel, Michael
0750696559	Lenk, John D.
0121403106	Bull, David R.
0750670738	Kularatna, Nihal
0750670622	Williams, Jim
0750670630	Chris Schroeder
0750696524	Lenk, John D.
0750690895	Clive Maxfield
0124438660	Cornelius T. Leondes
0124438652	Cornelius T. Leondes
0124438679	Leondes, Cornelius T.,
0750670061	Technical Marketing Staff of Gates Energy Products
0124438644	Leondes, Cornelius T.,
0124438628	Leondes, Cornelius T.
0340700149	Buchanan, William
0750696540	John Lenk
1558603204	Muchnick, Steven S.; Muchnick and Associates
1558604375	Robert J. Muller
0750698586	Newnes
1555581676	Richard Walters
0123951704	Thomas L. Koch
0750695099	Lenk, John D.
0123951712	Kaminow,Koch,Kaminow,Koch,
0123490405	Hinchey, Michael,
0750695080	John Lenk
0750697008	Schroeder, Chris
0750698217	Lenk, John D.
0340645881	Hahn, Brian D./ Kemp, Ray
0750695102	Lenk, John D.
0126443750	Simovici, Dan A.
034061398X	Haigh, Jim
0340600349	HAHN, BRIAN D. (ASSOCIATE PROFESSOR, DEPARTMENT OF APPLIED MATHEMATICS, UNIVERSITY OF CAPE TOWN, SOUTH AFRICA)
0125062303	Morik, Katharina
0126290407	Schreiber, Guus/ Wielinga, Bob/ Breuker,
1555580890	Brain, Marshall
0120828103	Bauer, Barr E.
0444888144	By (author) Brezinski, C. By (author) Redivo Zaglia, M.
1558601910	Norvig, Peter
0124841406	McHaney, Roger W.
0750696400	Williams, Jim
0750694998	Pease, Robert A.
0122090489	Demler, Michael J.
0127748601	Yuasa, Taiichi
1555580416	Guy Steele
0444520872	By (author) Deza, Michel-Marie By (author) Deza, Elena
0240807944	Arthur, Magan H.
012620862X	Sayood, Khalid
1555583113	Greg Schulz
1555582885	Vallath, Murali
0124438954	Leondes,Cornelius T
1555582397	Pierre Bijaoui
0122941519	Govil,Manish; Proth,Jean-Marie
1558607137	Simon, Alan R./ Shaffer, Steven L.
0124558402	David Loshin
0122384520	Enderton, Herbert B.
012443875X	Cornelius T. Leondes
0124499759	Lientz,Bennet
1558603697	Gibson, Jerry D.; Berger, Toby
1558604030	Weiss, Sholom M.
0122661702	Frants, Valery J.
1558604545	Edited by Jones, Karen Sparck Edited by Willett, Peter
0120959704	Bidgoli, Hossein
0120510405	Allen, Bryce
0124650309	Maguire, Carmel
1558602534	Fox
0124383807	Laurini, Robert; Thompson, Derek
0126542619	Soergel, Dagobert
0121674517	Patrick,Brian G
0127323503	Wall, David
0124660517	Calvert,Kenneth L
0126567557	Spielman, Sue
1558609091	Michael Sikora
155860846X	Almeroth, Kevin C.
0131496980	Ericson, Barbara; Guzdial, Mark
0131872893	Dann
0131194593	Sprankle, Maureen
013046709X	Reed, David
0131176552	Guzdial, Mark
0130602396	Dan Robinson
0130494984	Bohl, Marilyn/ Rynn, Maria
0131227068	Moshe F. Rubinstein, Iris R. Firstenberg
0130920657	Jay Singelmann
0132320495	Liang, Y. Daniel
0131857576	Harvey &amp; Paul) Deitel &amp; Associates
0131426605	DEITEL
0131857584	Deitel &amp; Associates; Deitel, Paul J.
0134373774	Deitel, Paul J.
0130914266	Adams, Joel
0130853755	Johnston, Barbara
0130132497	H. M. Deitel
0132681528	Ford, William H.; Topp, William R.
0131525239	Deitel &amp; Associates
0131426419	Deitel, Harvey M.; Deitel, Paul J.; Hoey, Tim; Yaeger, Cheryl H.
0131986198	Venugopal, Sesh
0132221586	Liang, Y.Daniel
0132237385	Liang, Y. Daniel
0132222205	Deitel &amp; Associates
0131735799	Parr, Mike; Bell, Douglas
0131474340	Ralph Morelli, Ralph Walde
013197629X	Kolling, Michael
0131856456	Durney, Brian
0131483986	Harvey M. Deitel, Paul J. Deitel
0131424157	Bruce, Kim B./ Danyluk, Andrea Pohoreckyj/ Murtagh, Thomas P.
0131492020	Savitch, Walter
0131486608	Deitel, Harvey M.; Deitel, Paul J.
0131541579	Deitel, Harvey M.; Deitel, P. J.
0131018604	Staugaard, Andrew
013048623X	Johnston, Barbara
0131427814	Bartlett
0131426486	Harvey M. Deitel, Paul J. Deitel, Deitel, Associates
0131410792	Liang, Y. Daniel
0131410806	Liang, Y. Daniel
0130142514	Adams, Joel/ Nyhoff, Jeffrey L.
0131482394	Langr, Jeff
013143697X	Carl Albing, Michael Schwarz
0131463055	Geary, David; Horstmann, Cay
0131401602	Chatterjee, Sandeep; Webber, James
0131482114	Van Der Linden, Peter
0130649341	Deitel, Harvey M./ Deitel, Paul J.
0130166383	Kevin Chu, Eric Brower
0132438623	Harvey &amp; Paul) Deitel &amp; Associates
0131869000	H.M. Deitel, P.J. Deitel
0672325314	Holzner, Steve
0131409093	Nyhoff, Larry R.
013919424X	Weiss, Mark Allen
0130858501	Ford, William
0130284467	Shaffer, Clifford A.
0137689950	Kruse, Robert L.; Ryba, Alexander J.; Ryba, Alex
0130369977	Langsam, Yedidyah; Augenstein, Moshe J.; Tenenbaum, Aaron M.
0131972596	Taubenfeld, Gadi
0023606924	Richard Johnsonbaugh, Marcus Schaefer
0133350681	Brassard, Gilles; Bratley, Paul
0137903952	Russell, Stuart J.; Norvig, Peter
0130257869	Watt, David A./ Brown, Deryck F.
0131821067	Holmes, Jim
0130481904	Pittman, Thomas
0130351180	Liang, Y. Daniel/ Zhang, Hong
0131496700	Francis Hill
0131452541	Steve Cunningham
0130153907	Hearn, Donald; Baker, M. Pauline
0130411612	McCracken, Daniel D./ Wolfe, Rosalee J./
0131739026	Walker, James Faure
0131238035	Young, Douglas A.
0134999975	Oliver Jones
0321340795	Williams, Rob
0131856448	Stallings, William
0131485210	Tanenbaum, Andrew S.
0131491792	Comer, Douglas E.
0130484407	Heuring, Vincent P.; Jordan, Harry F.
0131420445	Britton, Robert
013034074X	Bryant, Randal E.; O'Hallaron, David R.
0201436647	Murdocca, Miles J.; Heuring, Vincent
0132212110	Hoffer, Jeffrey A.; Prescott, Mary B.; McFadden, Fred R.
0131453203	Hoffer, Jeffrey A.; McFadden, Fred R.; Prescott, Mary B.
0131018574	Shah, Nilesh
0130174807	Shekhar, Shashi/ Chawla, Sanjay
0130319953	Garcia-Molina, Hector; Ullman, Jeffrey D.; Widom, Jennifer D.
0130353000	Jeffrey D. Ullman, Jennifer D. Widom
0130304182	Blaha, Michael
0130286524	Dietrich, Suzanne W
0131400851	Thomas W. Miller
0130888923	Margaret H. Dunham
0131679953	Edgar G. Goodaire, Michael M. Parmenter
0131176862	Johnsonbaugh, Richard
0130457973	Bernard Kolman, Robert C. Busby, Sharon Cutler Ross
0130457914	James A. Anderson
0130669482	Gossett, Eric
0130652474	Ross; Wright
0130186619	Feil, Todd; Krone, Joan
0130654876	Hamburger; Richards, Dana
0135012066	Grassman &amp; Tremblay
013214171X	Roberts, Fred S.
0131003127	Edward M. Schwalb
0130460990	Aura Ganz, Zvi Ganz, Kitti Wongthavarawat
0131414631	Jitae Shin, Daniel C. Lee, C.C. Jay Kuo, C.-C. Jay Kuo
013031398X	Rao, K. Ramamohan; Rao, K.R.; Bojkovic, Z. S.; Bojkovic, Zoran S.; Milovanovic, Dragorad A.
0138569231	Effelsberg, Wolfgang
